Team,League,Year,G,W,L,Playoffs,RankSeason,RankPlayoffs,RS,RA,BA,OBP,SLG,OPS,OOBP,OSLG
ARI,NL,2012,162,81,81,FALSE,,,734,688,0.259,0.328,0.418,0.746,0.317,0.415
ATL,NL,2012,162,94,68,TRUE,4,5,700,600,0.247,0.32,0.389,0.709,0.306,0.378
BAL,AL,2012,162,93,69,TRUE,5,4,712,705,0.247,0.311,0.417,0.728,0.315,0.403
BOS,AL,2012,162,69,93,FALSE,,,734,806,0.26,0.315,0.415,0.73,0.331,0.428
CHC,NL,2012,162,61,101,FALSE,,,613,759,0.24,0.302,0.378,0.68,0.335,0.424
CHW,AL,2012,162,85,77,FALSE,,,748,676,0.255,0.318,0.422,0.74,0.319,0.405
CIN,NL,2012,162,97,65,TRUE,2,4,669,588,0.251,0.315,0.411,0.726,0.305,0.39
CLE,AL,2012,162,68,94,FALSE,,,667,845,0.251,0.324,0.381,0.705,0.336,0.43
COL,NL,2012,162,64,98,FALSE,,,758,890,0.274,0.33,0.436,0.766,0.357,0.47
DET,AL,2012,162,88,74,TRUE,6,2,726,670,0.268,0.335,0.422,0.757,0.314,0.402
HOU,NL,2012,162,55,107,FALSE,,,583,794,0.236,0.302,0.371,0.673,0.337,0.427
KCR,AL,2012,162,72,90,FALSE,,,676,746,0.265,0.317,0.4,0.717,0.339,0.423
LAA,AL,2012,162,89,73,FALSE,,,767,699,0.274,0.332,0.433,0.765,0.31,0.403
LAD,NL,2012,162,86,76,FALSE,,,637,597,0.252,0.317,0.374,0.691,0.31,0.364
MIA,NL,2012,162,69,93,FALSE,,,609,724,0.244,0.308,0.382,0.69,0.327,0.399
MIL,NL,2012,162,83,79,FALSE,,,776,733,0.259,0.325,0.437,0.762,0.326,0.414
MIN,AL,2012,162,66,96,FALSE,,,701,832,0.26,0.325,0.39,0.715,0.333,0.442
NYM,NL,2012,162,74,88,FALSE,,,650,709,0.249,0.316,0.386,0.702,0.315,0.401
NYY,AL,2012,162,95,67,TRUE,3,3,804,668,0.265,0.337,0.453,0.79,0.311,0.419
OAK,AL,2012,162,94,68,TRUE,4,4,713,614,0.238,0.31,0.404,0.714,0.306,0.378
PHI,NL,2012,162,81,81,FALSE,,,684,680,0.255,0.317,0.4,0.717,0.306,0.407
PIT,NL,2012,162,79,83,FALSE,,,651,674,0.243,0.304,0.395,0.699,0.314,0.39
SDP,NL,2012,162,76,86,FALSE,,,651,710,0.247,0.319,0.38,0.699,0.319,0.398
SEA,AL,2012,162,75,87,FALSE,,,619,651,0.234,0.296,0.369,0.665,0.308,0.394
SFG,NL,2012,162,94,68,TRUE,4,1,718,649,0.269,0.327,0.397,0.724,0.313,0.393
STL,NL,2012,162,88,74,TRUE,6,3,765,648,0.271,0.338,0.421,0.759,0.313,0.387
TBR,AL,2012,162,90,72,FALSE,,,697,577,0.24,0.317,0.394,0.711,0.294,0.352
TEX,AL,2012,162,93,69,TRUE,5,5,808,707,0.273,0.334,0.446,0.78,0.309,0.408
TOR,AL,2012,162,73,89,FALSE,,,716,784,0.245,0.309,0.407,0.716,0.335,0.438
WSN,NL,2012,162,98,64,TRUE,1,4,731,594,0.261,0.322,0.428,0.75,0.303,0.373
ARI,NL,2011,162,94,68,TRUE,5,4,731,662,0.25,0.322,0.413,0.735,0.316,0.409
ATL,NL,2011,162,89,73,FALSE,,,641,605,0.243,0.308,0.387,0.695,0.31,0.361
BAL,AL,2011,162,69,93,FALSE,,,708,860,0.257,0.316,0.413,0.729,0.341,0.46
BOS,AL,2011,162,90,72,FALSE,,,875,737,0.28,0.349,0.461,0.81,0.322,0.392
CHC,NL,2011,162,71,91,FALSE,,,654,756,0.256,0.314,0.401,0.715,0.335,0.413
CHW,AL,2011,162,79,83,FALSE,,,654,706,0.252,0.319,0.388,0.707,0.317,0.397
CIN,NL,2011,162,79,83,FALSE,,,735,720,0.256,0.326,0.408,0.734,0.325,0.415
